product_title,product_category,rating,review_count,units_sold,sale_price,list_price,discount_pct,is_best_seller_flag,has_coupon_flag,is_sponsored,is_available,best_seller_detail,coupon_detail,sustainability_detail,delivery_date,collected_at
"APC Smart-UPS 500VA Lithium Ion UPS with SmartConnect, SCL500RM1UC, Line Interactive, Sine Wave UPS, Short-Depth 120V Uninterruptible Power Supply",Other Electronics,3.1,133,50,414.82,414.82,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 21:43:36.000000 UTC
ASURION 2 Year Furniture Protection Plan ($1000 - $1249.99),Other Electronics,2.9,2,0,168.99,168.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-21 11:51:58.000000 UTC
ASURION 2 Year Furniture Protection Plan ($1500 - $1999.99),Other Electronics,3.0,2,0,262.99,262.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-21 11:57:58.000000 UTC
ASURION 2 Year Major Appliance Protection Plan ($1250 - $1499.99),Other Electronics,3.1,6,0,106.99,106.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 21:57:27.000000 UTC
ASURION 2 Year Major Appliance Protection Plan ($1500 - $1999.99),Other Electronics,3.0,6,0,119.99,119.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 21:56:03.000000 UTC
ASURION 2 Year Major Appliance Protection Plan ($1500 - $1999.99),Other Electronics,3.0,6,0,119.99,119.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 22:21:05.000000 UTC
ASURION 2 Year Major Appliance Protection Plan ($1500 - $1999.99),Other Electronics,3.0,6,0,119.99,119.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 22:21:28.000000 UTC
ASURION 2 Year Toy Accident Protection Plan ($1500 - $1999.99),Other Electronics,2.6,13,0,119.99,119.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 21:57:41.000000 UTC
ASURION 3 Year B2B Office Equipment Protection Plan ($500 - $599.99),Other Electronics,1.0,1,0,71.99,71.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 21:49:16.000000 UTC
ASURION 3 Year B2B Office Equipment Protection Plan ($500 - $599.99),Other Electronics,1.0,1,0,71.99,71.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 21:54:56.000000 UTC
ASURION 3 Year Electronics Protection Plan ($500 - $599.99),Other Electronics,2.4,21,0,64.99,64.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-21 12:10:58.000000 UTC
ASURION 3 Year Furniture Protection Plan ($500 - $599.99),Other Electronics,2.8,3,0,109.99,109.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-21 12:08:02.000000 UTC
ASURION 3 Year Home Improvement Protection Plan ($2000 - $2999.99),Other Electronics,3.3,30,0,169.99,169.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-21 11:59:03.000000 UTC
ASURION 3 Year Home Improvement Protection Plan ($4000 - $9999.99),Other Electronics,2.0,4,0,189.99,189.99,0.0,false,false,false,false,No Badge,No Coupon,None,,2025-08-24 22:17:52.000000 UTC
"ASUS Pro WS WRX90E-SAGE SE EEB Workstation Motherboard, AMD Ryzen™ Threadripper™ PRO 7000 WX-Series, ECC R-DIMM DDR5, 32 Power-Stage,7xPCIe 5.0x16, PCIe 5.0 M.2, 10Gb & 2.5Gb LAN, Multi-GPU Support",Laptops,3.3,48,50,1194.99,1299.99,8.08,false,false,false,true,No Badge,No Coupon,None,2025-09-01,2025-08-21 11:56:25.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:37:00.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:37:11.000000 UTC
