Product_ID,Product_Name,Category,Brand,Unit_Price
P001,Laptop,Electronics,Dell,55000
P002,Mobile,Electronics,Samsung,25000
P003,Tablet,Electronics,Lenovo,30000
P004,Headphones,Accessories,Sony,4500
P005,Keyboard,Accessories,Logitech,1800
P006,Monitor,Electronics,LG,22000
P007,Mouse,Accessories,HP,1200
P008,Printer,Office,Canon,15000
P009,Smartwatch,Wearables,Boat,7000
P010,Camera,Electronics,Canon,42000
P001,Laptop,Electronics,Dell,55000
P002,Mobile,Electronics,Samsung,25000
P003,Tablet,Electronics,Lenovo,30000
P004,Headphones,Accessories,Sony,4500
P005,Keyboard,Accessories,Logitech,1800
P006,Monitor,Electronics,LG,22000
P007,Mouse,Accessories,HP,1200
P008,Printer,Office,Canon,15000
P009,Smartwatch,Wearables,Boat,7000
P010,Camera,Electronics,Canon,42000
P001,Laptop,Electronics,Dell,55000
P002,Mobile,Electronics,Samsung,25000
P003,Tablet,Electronics,Lenovo,30000
P004,Headphones,Accessories,Sony,4500
P005,Keyboard,Accessories,Logitech,1800
P006,Monitor,Electronics,LG,22000
P007,Mouse,Accessories,HP,1200
P008,Printer,Office,Canon,15000
P009,Smartwatch,Wearables,Boat,7000
P010,Camera,Electronics,Canon,42000
P001,Laptop,Electronics,Dell,55000
P002,Mobile,Electronics,Samsung,25000
P003,Tablet,Electronics,Lenovo,30000
P004,Headphones,Accessories,Sony,4500
P005,Keyboard,Accessories,Logitech,1800
P006,Monitor,Electronics,LG,22000
P007,Mouse,Accessories,HP,1200
P008,Printer,Office,Canon,15000
P009,Smartwatch,Wearables,Boat,7000
P010,Camera,Electronics,Canon,42000
P001,Laptop,Electronics,Dell,55000
P002,Mobile,Electronics,Samsung,25000
P003,Tablet,Electronics,Lenovo,30000
P004,Headphones,Accessories,Sony,4500
P005,Keyboard,Accessories,Logitech,1800
P006,Monitor,Electronics,LG,22000
P007,Mouse,Accessories,HP,1200
P008,Printer,Office,Canon,15000
P009,Smartwatch,Wearables,Boat,7000
P010,Camera,Electronics,Canon,42000
