Order_ID,Customer_ID,Product_ID,Order_Date,Sales,Quantity
O001,C001,P001,2025-01-05,12500,2
O002,C002,P002,2025-01-12,18500,3
O003,C003,P003,2025-01-19,24000,4
O004,C004,P004,2025-01-26,31500,5
O005,C005,P005,2025-02-02,27800,3
O006,C006,P006,2025-02-09,45200,6
O007,C007,P007,2025-02-16,19800,2
O008,C008,P008,2025-02-23,36700,4
O009,C009,P009,2025-03-02,42100,5
O010,C010,P010,2025-03-09,28900,3
O011,C011,P001,2025-03-16,15600,2
O012,C012,P002,2025-03-23,33400,4
O013,C013,P003,2025-03-30,47200,6
O014,C014,P004,2025-04-06,22500,3
O015,C015,P005,2025-04-13,38900,5
O016,C016,P006,2025-04-20,51000,7
O017,C017,P007,2025-04-27,27500,3
O018,C018,P008,2025-05-04,31800,4
O019,C019,P009,2025-05-11,44700,6
O020,C020,P010,2025-05-18,29300,3
O021,C021,P001,2025-05-25,16800,2
O022,C022,P002,2025-06-01,35600,5
O023,C023,P003,2025-06-08,48300,6
O024,C024,P004,2025-06-15,21400,2
O025,C025,P005,2025-06-22,39500,5
O026,C026,P006,2025-06-29,52800,7
O027,C027,P007,2025-07-06,26100,3
O028,C028,P008,2025-07-13,34200,4
O029,C029,P009,2025-07-20,45900,5
O030,C030,P010,2025-07-27,30700,4
O031,C031,P001,2025-08-03,14200,2
O032,C032,P002,2025-08-10,37100,4
O033,C033,P003,2025-08-17,49600,6
O034,C034,P004,2025-08-24,23200,3
O035,C035,P005,2025-08-31,41800,5
O036,C036,P006,2025-09-07,54500,7
O037,C037,P007,2025-09-14,28600,3
O038,C038,P008,2025-09-21,32900,4
O039,C039,P009,2025-09-28,43800,6
O040,C040,P010,2025-10-05,31500,3
O041,C041,P001,2025-10-12,17700,2
O042,C042,P002,2025-10-19,34900,5
O043,C043,P003,2025-10-26,46500,6
O044,C044,P004,2025-11-02,25100,3
O045,C045,P005,2025-11-09,40200,5
O046,C046,P006,2025-11-16,55700,7
O047,C047,P007,2025-11-23,29800,4
O048,C048,P008,2025-11-30,36100,5
O049,C049,P009,2025-12-07,48100,6
O050,C050,P010,2025-12-14,32600,4
